,0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-07,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,-0.0002719562150492738
2024-01-14,-0.00012697955629115132
2024-01-15,-0.0005579101764614514
2024-01-16,-0.0005579101764614514
2024-01-17,-0.000559909854513152
2024-01-18,-0.0004829222495176255
2024-01-19,-0.0005789067960056959
2024-01-21,-0.0006468958497681809
2024-01-22,-0.0006019030936018632
2024-01-23,-2.999517077717506e-06
2024-01-24,-2.999517077717506e-06
2024-01-25,-2.999517077717506e-06
2024-01-26,0.0
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,-0.0005445001488633139
2024-02-01,-0.0005445001488633139
2024-02-02,-0.0005445001488633139
2024-02-04,-0.0005445001488633139
2024-02-05,-0.0005445001488633139
2024-02-06,-0.0005305129890761373
2024-02-07,-0.0007393213030437717
2024-02-08,-0.000651402012952218
2024-02-09,-0.00088318923228492
2024-02-11,-0.00088318923228492
2024-02-12,-0.0009621167767989158
2024-02-13,-0.0014246921326224182
2024-02-14,-0.0013457645881080893
2024-02-15,-0.0017933537013020695
2024-02-16,-0.0017933537013020695
2024-02-18,-0.0017933537013020695
2024-02-19,-0.0017533903876241208
2024-02-20,-0.001210888404444721
2024-02-21,-0.0008951782263881825
2024-02-22,-0.0005744726341219142
2024-02-23,-0.0006543992614780336
2024-02-25,-0.0006174331963257895
2024-02-26,-0.00029472943837549614
2024-02-27,-0.0005055359180273777
2024-02-28,-0.000465572604349318
2024-02-29,-0.0006933634923143028
2024-03-01,-0.00046057719013969933
2024-03-03,-0.0003926395568870644
2024-03-04,-0.000323702840792639
2024-03-05,-2.1979822523388037e-05
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-10,0.0
2024-03-11,-1.796299622780495e-05
2024-03-12,-0.000151687523701316
2024-03-13,0.0
2024-03-14,-0.00044606415739767424
2024-03-15,-0.00042211440398032263
2024-03-17,-0.0004281018423345495
2024-03-18,-0.0002594556620210131
2024-03-19,-0.0002185414999328339
2024-03-20,-0.0007743753604932957
2024-03-21,-0.0011316258489684206
2024-03-22,-0.0011316258489684206
2024-03-24,-0.0011316258489684206
2024-03-25,-0.0011056802827664747
2024-03-26,-0.0010028959243502111
2024-03-27,-0.0009390299152371995
2024-03-28,-0.0005189113240413601
2024-03-29,-0.0005189113240413601
2024-03-31,-0.0005189113240413601
2024-04-01,-0.0005189113240413601
2024-04-02,-0.0006895533171397128
2024-04-03,-0.0009779482645403403
2024-04-04,-0.0011765316366255663
2024-04-05,-0.0013501673489010324
2024-04-07,-0.0013501673489010324
2024-04-08,-0.0013501673489010324
2024-04-09,-0.0013501673489010324
2024-04-10,-0.0013501673489010324
2024-04-11,-0.0013501673489010324
2024-04-12,-0.0013501673489010324
2024-04-14,-0.0013501673489010324
2024-04-15,-0.0008202790545425165
2024-04-16,-0.0006057291801790932
2024-04-17,-0.0011326237553602736
2024-04-18,-0.001162560947131852
2024-04-19,-0.001162560947131852
2024-04-21,-0.001162560947131852
2024-04-22,-0.001162560947131852
2024-04-23,-0.001162560947131852
2024-04-24,-0.001068757746247262
2024-04-25,-0.0008961199403640929
2024-04-26,-0.001215449985928374
2024-04-28,-0.0009649754814388123
2024-04-29,-0.0010727493718167835
2024-04-30,-0.0015218072483917933
2024-05-01,-0.002038722759649114
2024-05-02,-0.002038722759649114
2024-05-03,-0.002038722759649114
2024-05-05,-0.002038722759649114
2024-05-06,-0.002038722759649114
2024-05-07,-0.0021385133988880423
2024-05-08,-0.0020736494833827335
2024-05-09,-0.0017902440679443687
2024-05-10,-0.0018561058898419747
2024-05-12,-0.0018341519492094394
2024-05-13,-0.0015028470269363714
2024-05-14,-0.0010138728946658127
2024-05-15,-0.0009659733878313315
2024-05-16,-0.0010637682142855542
2024-05-17,-0.0009799440773249346
2024-05-19,-0.0008751639061240768
2024-05-20,-0.001094703312449763
2024-05-21,-0.0010976970316268764
2024-05-22,-0.0013371945658001705
2024-05-23,-0.0013371945658001705
2024-05-24,-0.0016754848328200955
2024-05-26,-0.0016754848328200955
2024-05-27,-0.0016754848328200955
2024-05-28,-0.0017772712848435068
2024-05-29,-0.0020407185724344856
2024-05-30,-0.002069657857813545
2024-05-31,-0.00238300046502371
2024-06-02,-0.00238300046502371
2024-06-03,-0.00238300046502371
2024-06-04,-0.002528694798312414
2024-06-05,-0.002752225830207511
2024-06-06,-0.002473809946730854
2024-06-07,-0.003091514003619511
2024-06-09,-0.003091514003619511
2024-06-10,-0.003091514003619511
2024-06-11,-0.003091514003619511
2024-06-12,-0.0037191971244320277
2024-06-13,-0.0037191971244320277
2024-06-14,-0.0037191971244320277
2024-06-16,-0.0037191971244320277
2024-06-17,-0.0036044378893073103
2024-06-18,-0.003735163626710225
2024-06-19,-0.0037770756951904794
2024-06-20,-0.0035206137523466907
2024-06-21,-0.0031593716383019332
2024-06-23,-0.0031593716383019332
2024-06-24,-0.003494668186144634
2024-06-25,-0.0036323792682940725
2024-06-26,-0.0038459312362653097
2024-06-27,-0.0038359521723413392
2024-06-28,-0.00403353763803449
2024-06-30,-0.004339894900497798
2024-07-01,-0.0042490854187903215
2024-07-02,-0.0041363219964504205
2024-07-03,-0.0037770756951904794
2024-07-04,-0.0037770756951904794
2024-07-05,-0.0037770756951904794
2024-07-07,-0.0035974525445605643
2024-07-08,-0.0036303834555093673
2024-07-09,-0.0037122117796852816
