datetime,open,high,low,close,volume
2024-01-01 16:00:00,1.10427,1.10447,1.10342,1.10381,0
2024-01-01 20:00:00,1.1038,1.10432,1.10165,1.10208,0
2024-01-02 00:00:00,1.10208,1.10387,1.10151,1.10295,0
2024-01-02 04:00:00,1.10296,1.10378,1.09537,1.09537,0
2024-01-02 08:00:00,1.09538,1.09682,1.09408,1.09564,0
2024-01-02 12:00:00,1.09565,1.09575,1.09421,1.09431,0
2024-01-02 16:00:00,1.0943,1.09505,1.09375,1.09494,0
2024-01-02 20:00:00,1.09493,1.09624,1.09448,1.09622,0
2024-01-03 00:00:00,1.09623,1.09654,1.09502,1.09526,0
2024-01-03 04:00:00,1.09526,1.09562,1.09145,1.09168,0
2024-01-03 08:00:00,1.09168,1.09385,1.0898,1.09081,0
2024-01-03 12:00:00,1.09081,1.09257,1.08929,1.09212,0
2024-01-03 16:00:00,1.09211,1.09275,1.09167,1.09225,0
2024-01-03 20:00:00,1.09224,1.09306,1.0916,1.09258,0
2024-01-04 00:00:00,1.09259,1.09559,1.09208,1.09532,0
2024-01-04 04:00:00,1.09532,1.09721,1.09453,1.09522,0
2024-01-04 08:00:00,1.09523,1.09652,1.09327,1.0956,0
2024-01-04 12:00:00,1.09561,1.09597,1.09418,1.09491,0
2024-01-04 16:00:00,1.0949,1.09514,1.0943,1.09508,0
2024-01-04 20:00:00,1.09508,1.09558,1.09363,1.09371,0
2024-01-05 00:00:00,1.09371,1.09381,1.09034,1.09076,0
2024-01-05 04:00:00,1.09075,1.09305,1.09028,1.09176,0
2024-01-05 08:00:00,1.09177,1.09984,1.08767,1.09559,0
2024-01-05 12:00:00,1.09558,1.09597,1.09352,1.09392,0
2024-01-05 16:00:00,1.09393,1.0942,1.0937,1.09392,0
2024-01-07 16:00:00,1.09386,1.09492,1.09349,1.09485,0
2024-01-07 20:00:00,1.09484,1.0953,1.09306,1.0934,0
2024-01-08 00:00:00,1.09342,1.09522,1.09293,1.09337,0
2024-01-08 04:00:00,1.09336,1.09506,1.09226,1.09445,0
2024-01-08 08:00:00,1.09446,1.09787,1.09426,1.09754,0
2024-01-08 12:00:00,1.09753,1.09788,1.09488,1.09547,0
2024-01-08 16:00:00,1.09548,1.09593,1.09492,1.09552,0
2024-01-08 20:00:00,1.0955,1.09663,1.09514,1.09561,0
2024-01-09 00:00:00,1.0956,1.09629,1.09389,1.09496,0
2024-01-09 04:00:00,1.09497,1.09504,1.09287,1.09405,0
2024-01-09 08:00:00,1.09406,1.09513,1.09103,1.09343,0
2024-01-09 12:00:00,1.09345,1.094,1.092,1.09279,0
2024-01-09 16:00:00,1.0928,1.09363,1.09265,1.09308,0
2024-01-09 20:00:00,1.09307,1.0936,1.09261,1.09321,0
2024-01-10 00:00:00,1.09321,1.09453,1.09228,1.09433,0
2024-01-10 04:00:00,1.09432,1.09553,1.09415,1.09438,0
2024-01-10 08:00:00,1.09438,1.0969,1.0932,1.0959,0
2024-01-10 12:00:00,1.0959,1.09728,1.09582,1.09654,0
2024-01-10 16:00:00,1.09654,1.09787,1.09648,1.09777,0
2024-01-10 20:00:00,1.09778,1.09847,1.09749,1.09777,0
2024-01-11 00:00:00,1.09775,1.09885,1.09717,1.0975,0
2024-01-11 04:00:00,1.09749,1.09904,1.09585,1.09837,0
2024-01-11 08:00:00,1.09838,1.1,1.09302,1.09423,0
2024-01-11 12:00:00,1.09422,1.09829,1.09415,1.09713,0
2024-01-11 16:00:00,1.09714,1.09846,1.09609,1.09756,0
2024-01-11 20:00:00,1.09754,1.09853,1.09725,1.09755,0
2024-01-12 00:00:00,1.09756,1.09827,1.09608,1.0975,0
2024-01-12 04:00:00,1.09751,1.09798,1.09371,1.09377,0
2024-01-12 08:00:00,1.09377,1.09868,1.09359,1.09583,0
2024-01-12 12:00:00,1.09582,1.09633,1.0947,1.09512,0
2024-01-12 16:00:00,1.09511,1.09526,1.09481,1.09483,0
2024-01-14 16:00:00,1.0948,1.0954,1.09407,1.09534,0
2024-01-14 20:00:00,1.09533,1.09675,1.09494,1.09628,0
2024-01-15 00:00:00,1.09629,1.09666,1.09515,1.09579,0
2024-01-15 04:00:00,1.0958,1.09589,1.09335,1.09538,0
2024-01-15 08:00:00,1.09537,1.09541,1.09381,1.09472,0
2024-01-15 12:00:00,1.09472,1.09528,1.0946,1.09517,0
2024-01-15 16:00:00,1.09516,1.09517,1.09191,1.09196,0
2024-01-15 20:00:00,1.09197,1.09315,1.09134,1.09175,0
2024-01-16 00:00:00,1.09175,1.09265,1.08944,1.09046,0
2024-01-16 04:00:00,1.09045,1.09045,1.08739,1.08862,0
2024-01-16 08:00:00,1.08863,1.08979,1.0862,1.08809,0
2024-01-16 12:00:00,1.08629,1.0877,1.08628,1.08714,0
2024-01-16 16:00:00,1.08786,1.08788,1.08723,1.08779,0
