datetime,open,high,low,close,volume
2024-01-01,155.555,156.185,155.437,155.994,0
2024-01-02,155.994,156.335,155.063,155.559,0
2024-01-03,155.56,156.902,155.558,156.865,0
2024-01-04,156.865,158.673,156.622,158.423,0
2024-01-05,158.423,158.994,158.043,158.248,0
2024-01-07,158.1,158.481,157.848,157.958,0
2024-01-08,157.963,158.372,157.224,157.317,0
2024-01-09,157.317,158.454,157.2,158.302,0
2024-01-10,158.304,160.002,158.148,159.601,0
2024-01-11,159.603,160.178,159.016,159.147,0
2024-01-12,159.147,159.446,158.54,158.716,0
2024-01-14,158.574,159.168,158.544,159.144,0
2024-01-15,159.145,159.83,159.074,159.517,0
2024-01-16,159.518,160.373,159.313,160.184,0
2024-01-17,160.185,161.383,160.139,161.151,0
2024-01-18,161.15,161.617,160.641,161.508,0
2024-01-19,161.508,161.864,160.809,161.443,0
2024-01-21,161.372,161.561,161.091,161.187,0
2024-01-22,161.188,161.707,160.751,161.235,0
2024-01-23,161.235,161.544,160.413,160.664,0
2024-01-24,160.662,160.896,159.976,160.706,0
2024-01-25,160.706,160.966,159.696,160.199,0
2024-01-26,160.198,160.922,159.825,160.782,0
2024-01-28,160.52,160.836,160.516,160.571,0
2024-01-29,160.569,160.588,159.415,159.521,0
2024-01-30,159.518,160.338,159.213,159.722,0
2024-01-31,159.724,160.268,158.458,158.647,0
2024-02-01,158.645,159.305,158.076,159.201,0
2024-02-02,159.201,160.258,159.175,160.027,0
2024-02-04,159.958,160.272,159.85,159.987,0
2024-02-05,159.989,160.183,159.379,159.587,0
2024-02-06,159.586,159.866,158.906,159.199,0
2024-02-07,159.197,160.116,159.054,160.07,0
2024-02-08,160.071,161.011,160.043,160.943,0
2024-02-09,160.946,161.26,160.767,160.954,0
2024-02-11,160.778,161.096,160.778,161.018,0
2024-02-12,161.016,161.09,160.376,160.971,0
2024-02-13,160.97,161.629,160.794,161.187,0
2024-02-14,161.193,161.585,160.952,161.043,0
2024-02-15,161.043,161.788,160.912,161.657,0
2024-02-16,161.656,161.951,161.586,161.86,0
2024-02-18,161.663,161.918,161.552,161.691,0
2024-02-19,161.691,161.935,161.474,161.891,0
2024-02-20,161.891,162.36,161.855,162.23,0
2024-02-21,162.231,162.929,161.943,162.772,0
2024-02-22,162.774,163.463,162.648,162.953,0
2024-02-23,162.954,163.205,162.683,162.826,0
2024-02-25,162.795,162.906,162.556,162.857,0
2024-02-26,162.856,163.716,162.717,163.293,0
2024-02-27,163.293,163.379,162.888,163.157,0
2024-02-28,163.158,163.407,162.212,162.349,0
2024-02-29,162.349,162.752,161.679,162.617,0
2024-03-01,162.617,163.007,162.337,162.711,0
2024-03-03,162.496,162.952,162.496,162.929,0
2024-03-04,162.929,163.518,162.769,163.333,0
2024-03-05,163.337,163.362,162.607,162.708,0
2024-03-06,162.708,162.96,161.824,161.971,0
2024-03-07,161.972,162.17,160.549,161.833,0
2024-03-08,161.832,162.022,160.616,160.843,0
2024-03-10,160.837,160.926,160.372,160.692,0
2024-03-11,160.691,161.244,160.21,161.189,0
2024-03-12,161.189,161.564,160.87,161.195,0
2024-03-13,161.198,161.946,161.193,161.849,0
2024-03-14,161.848,161.91,161.1,161.304,0
2024-03-15,161.305,162.403,161.063,162.276,0
2024-03-17,162.119,162.555,162.062,162.35,0
2024-03-18,162.35,163.101,161.949,163.037,0
2024-03-19,163.037,164.673,162.948,164.611,0
2024-03-20,164.61,165.351,164.253,164.829,0
2024-03-21,164.828,165.337,164.132,164.214,0
2024-03-22,164.214,164.253,163.478,163.643,0
2024-03-24,163.611,163.688,163.312,163.669,0
2024-03-25,163.667,164.207,163.55,164.076,0
2024-03-26,164.075,164.417,163.907,164.163,0
2024-03-27,164.163,164.288,163.435,163.766,0
2024-03-28,163.767,163.795,162.925,163.009,0
2024-03-29,163.011,163.348,162.93,163.221,0
